"Label (Grouping)","Population 1 year and over"
"    Moved; from abroad",""
"        Estimate","0.3%"
"        Margin of Error","±0.2"
"Presidio County, Texas",""
"    Total",""
"        Estimate","5,649"
"        Margin of Error","±289"
"    Moved; within same county",""
"        Estimate","0.0%"
"        Margin of Error","±0.9"
"    Moved; from different county, same state",""
"        Estimate","2.2%"
"        Margin of Error","±2.5"
"    Moved; from different  state",""
"        Estimate","0.0%"
"        Margin of Error","±0.9"
"    Moved; from abroad",""
"        Estimate","0.7%"
"        Margin of Error","±1.0"
"Rains County, Texas",""
"    Total",""
"        Estimate","12,380"
"        Margin of Error","±65"
"    Moved; within same county",""
"        Estimate","3.1%"
"        Margin of Error","±1.2"
"    Moved; from different county, same state",""
"        Estimate","8.1%"
"        Margin of Error","±3.5"
"    Moved; from different  state",""
"        Estimate","0.8%"
"        Margin of Error","±0.6"
"    Moved; from abroad",""
"        Estimate","0.4%"
"        Margin of Error","±0.8"
"Randall County, Texas",""
"    Total",""
"        Estimate","142,323"
"        Margin of Error","±319"
"    Moved; within same county",""
"        Estimate","7.0%"
"        Margin of Error","±1.2"
"    Moved; from different county, same state",""
"        Estimate","5.4%"
"        Margin of Error","±0.7"
"    Moved; from different  state",""
"        Estimate","1.8%"
"        Margin of Error","±0.4"
"    Moved; from abroad",""
"        Estimate","0.2%"
"        Margin of Error","±0.1"
"Reagan County, Texas",""
"    Total",""
"        Estimate","3,211"
"        Margin of Error","±40"
"    Moved; within same county",""
"        Estimate","3.3%"
"        Margin of Error","±2.4"
"    Moved; from different county, same state",""
"        Estimate","3.8%"
"        Margin of Error","±2.9"
"    Moved; from different  state",""
"        Estimate","0.8%"
"        Margin of Error","±1.2"
"    Moved; from abroad",""
"        Estimate","0.0%"
"        Margin of Error","±1.5"
"Real County, Texas",""
"    Total",""
"        Estimate","2,744"
"        Margin of Error","±91"
"    Moved; within same county",""
"        Estimate","3.2%"
"        Margin of Error","±2.6"
"    Moved; from different county, same state",""
"        Estimate","6.1%"
"        Margin of Error","±4.2"
"    Moved; from different  state",""
"        Estimate","1.1%"
"        Margin of Error","±1.4"
"    Moved; from abroad",""
"        Estimate","0.0%"
"        Margin of Error","±0.1"
"Red River County, Texas",""
"    Total",""
"        Estimate","11,460"
"        Margin of Error","±99"
"    Moved; within same county",""
"        Estimate","2.5%"
"        Margin of Error","±1.1"
"    Moved; from different county, same state",""
"        Estimate","4.0%"
"        Margin of Error","±1.6"
"    Moved; from different  state",""
"        Estimate","1.3%"
"        Margin of Error","±0.7"
"    Moved; from abroad",""
"        Estimate","0.1%"
"        Margin of Error","±0.1"
"Reeves County, Texas",""
"    Total",""
"        Estimate","13,075"
"        Margin of Error","±140"
"    Moved; within same county",""
"        Estimate","2.5%"
"        Margin of Error","±2.0"
"    Moved; from different county, same state",""
"        Estimate","3.6%"
"        Margin of Error","±1.5"
"    Moved; from different  state",""
"        Estimate","1.0%"
"        Margin of Error","±0.8"
"    Moved; from abroad",""
"        Estimate","1.9%"
"        Margin of Error","±1.7"
