"Label (Grouping)","AGE BY EDUCATIONAL ATTAINMENT!!Population 18 to 24 years","AGE BY EDUCATIONAL ATTAINMENT!!Population 18 to 24 years!!Less than high school graduate","AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over","AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Less than 9th grade","AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over!!9th to 12th grade, no diploma"
"Ada County, Idaho","","","","",""
"    Total","","","","",""
"        Estimate","44,660","4,435","349,321","5,959","11,279"
"    Percent","","","","",""
"        Estimate","(X)","9.9%","(X)","1.7%","3.2%"
"    Male","","","","",""
"        Estimate","23,189","3,101","174,376","3,200","5,835"
"    Percent Male","","","","",""
"        Estimate","(X)","13.4%","(X)","1.8%","3.3%"
"    Female","","","","",""
"        Estimate","21,471","1,334","174,945","2,759","5,444"
"    Percent Female","","","","",""
"        Estimate","(X)","6.2%","(X)","1.6%","3.1%"
"Adams County, Idaho","","","","",""
"    Total","","","","",""
"        Estimate","220","29","3,591","40","215"
"    Percent","","","","",""
"        Estimate","(X)","13.2%","(X)","1.1%","6.0%"
"    Male","","","","",""
"        Estimate","113","24","1,876","34","156"
"    Percent Male","","","","",""
"        Estimate","(X)","21.2%","(X)","1.8%","8.3%"
"    Female","","","","",""
"        Estimate","107","5","1,715","6","59"
"    Percent Female","","","","",""
"        Estimate","(X)","4.7%","(X)","0.3%","3.4%"
"Bannock County, Idaho","","","","",""
"    Total","","","","",""
"        Estimate","9,257","746","56,691","787","2,756"
"    Percent","","","","",""
"        Estimate","(X)","8.1%","(X)","1.4%","4.9%"
"    Male","","","","",""
"        Estimate","4,798","475","27,987","335","1,469"
"    Percent Male","","","","",""
"        Estimate","(X)","9.9%","(X)","1.2%","5.2%"
"    Female","","","","",""
"        Estimate","4,459","271","28,704","452","1,287"
"    Percent Female","","","","",""
"        Estimate","(X)","6.1%","(X)","1.6%","4.5%"
"Bear Lake County, Idaho","","","","",""
"    Total","","","","",""
"        Estimate","502","84","4,274","13","286"
"    Percent","","","","",""
"        Estimate","(X)","16.7%","(X)","0.3%","6.7%"
"    Male","","","","",""
"        Estimate","273","58","2,114","6","194"
"    Percent Male","","","","",""
"        Estimate","(X)","21.2%","(X)","0.3%","9.2%"
"    Female","","","","",""
"        Estimate","229","26","2,160","7","92"
"    Percent Female","","","","",""
"        Estimate","(X)","11.4%","(X)","0.3%","4.3%"
"Benewah County, Idaho","","","","",""
"    Total","","","","",""
"        Estimate","660","173","7,064","165","935"
"    Percent","","","","",""
"        Estimate","(X)","26.2%","(X)","2.3%","13.2%"
"    Male","","","","",""
"        Estimate","344","56","3,592","58","682"
"    Percent Male","","","","",""
"        Estimate","(X)","16.3%","(X)","1.6%","19.0%"
"    Female","","","","",""
"        Estimate","316","117","3,472","107","253"
"    Percent Female","","","","",""
"        Estimate","(X)","37.0%","(X)","3.1%","7.3%"
"Bingham County, Idaho","","","","",""
"    Total","","","","",""
"        Estimate","4,342","777","30,081","1,496","1,754"
"    Percent","","","","",""
"        Estimate","(X)","17.9%","(X)","5.0%","5.8%"
"    Male","","","","",""
"        Estimate","2,260","489","14,934","970","1,091"
"    Percent Male","","","","",""
"        Estimate","(X)","21.6%","(X)","6.5%","7.3%"
"    Female","","","","",""
"        Estimate","2,082","288","15,147","526","663"
"    Percent Female","","","","",""
"        Estimate","(X)","13.8%","(X)","3.5%","4.4%"
"Blaine County, Idaho","","","","",""
"    Total","","","","",""
"        Estimate","1,839","209","17,925","922","659"
"    Percent","","","","",""
"        Estimate","(X)","11.4%","(X)","5.1%","3.7%"
"    Male","","","","",""
"        Estimate","961","52","9,075","571","320"
"    Percent Male","","","","",""
"        Estimate","(X)","5.4%","(X)","6.3%","3.5%"
"    Female","","","","",""
"        Estimate","878","157","8,850","351","339"
"    Percent Female","","","","",""
"        Estimate","(X)","17.9%","(X)","4.0%","3.8%"
"Boise County, Idaho","","","","",""
"    Total","","","","",""
"        Estimate","435","90","6,374","30","252"
"    Percent","","","","",""
"        Estimate","(X)","20.7%","(X)","0.5%","4.0%"
"    Male","","","","",""
"        Estimate","246","68","3,257","24","143"
"    Percent Male","","","","",""
"        Estimate","(X)","27.6%","(X)","0.7%","4.4%"
"    Female","","","","",""
"        Estimate","189","22","3,117","6","109"
"    Percent Female","","","","",""
"        Estimate","(X)","11.6%","(X)","0.2%","3.5%"
"Bonner County, Idaho","","","","",""
"    Total","","","","",""
"        Estimate","2,639","649","37,113","806","2,304"
"    Percent","","","","",""
"        Estimate","(X)","24.6%","(X)","2.2%","6.2%"
"    Male","","","","",""
"        Estimate","1,374","379","18,385","378","1,358"
"    Percent Male","","","","",""
"        Estimate","(X)","27.6%","(X)","2.1%","7.4%"
"    Female","","","","",""
"        Estimate","1,265","270","18,728","428","946"
"    Percent Female","","","","",""
"        Estimate","(X)","21.3%","(X)","2.3%","5.1%"
"Bonneville County, Idaho","","","","",""
"    Total","","","","",""
"        Estimate","10,766","1,967","77,930","2,372","3,816"
"    Percent","","","","",""
"        Estimate","(X)","18.3%","(X)","3.0%","4.9%"
"    Male","","","","",""
"        Estimate","5,421","1,143","38,894","1,474","1,803"
"    Percent Male","","","","",""
"        Estimate","(X)","21.1%","(X)","3.8%","4.6%"
"    Female","","","","",""
"        Estimate","5,345","824","39,036","898","2,013"
"    Percent Female","","","","",""
"        Estimate","(X)","15.4%","(X)","2.3%","5.2%"
"Boundary County, Idaho","","","","",""
"    Total","","","","",""
"        Estimate","962","265","8,771","380","740"
"    Percent","","","","",""
"        Estimate","(X)","27.5%","(X)","4.3%","8.4%"
"    Male","","","","",""
"        Estimate","586","188","4,381","182","448"
"    Percent Male","","","","",""
"        Estimate","(X)","32.1%","(X)","4.2%","10.2%"
"    Female","","","","",""
"        Estimate","376","77","4,390","198","292"
"    Percent Female","","","","",""
"        Estimate","(X)","20.5%","(X)","4.5%","6.7%"
"Butte County, Idaho","","","","",""
"    Total","","","","",""
"        Estimate","176","116","1,773","66","154"
"    Percent","","","","",""
"        Estimate","(X)","65.9%","(X)","3.7%","8.7%"
"    Male","","","","",""
"        Estimate","117","94","862","33","58"
"    Percent Male","","","","",""
"        Estimate","(X)","80.3%","(X)","3.8%","6.7%"
"    Female","","","","",""
"        Estimate","59","22","911","33","96"
"    Percent Female","","","","",""
"        Estimate","(X)","37.3%","(X)","3.6%","10.5%"
"Camas County, Idaho","","","","",""
"    Total","","","","",""
"        Estimate","35","0","737","74","29"
"    Percent","","","","",""
"        Estimate","(X)","0.0%","(X)","10.0%","3.9%"
"    Male","","","","",""
"        Estimate","10","0","358","3","8"
"    Percent Male","","","","",""
"        Estimate","(X)","0.0%","(X)","0.8%","2.2%"
"    Female","","","","",""
"        Estimate","25","0","379","71","21"
"    Percent Female","","","","",""
"        Estimate","(X)","0.0%","(X)","18.7%","5.5%"
"Canyon County, Idaho","","","","",""
"    Total","","","","",""
"        Estimate","22,755","3,534","153,821","8,328","10,568"
"    Percent","","","","",""
"        Estimate","(X)","15.5%","(X)","5.4%","6.9%"
"    Male","","","","",""
"        Estimate","11,619","1,723","75,519","4,290","5,984"
"    Percent Male","","","","",""
"        Estimate","(X)","14.8%","(X)","5.7%","7.9%"
"    Female","","","","",""
"        Estimate","11,136","1,811","78,302","4,038","4,584"
"    Percent Female","","","","",""
"        Estimate","(X)","16.3%","(X)","5.2%","5.9%"
"Caribou County, Idaho","","","","",""
"    Total","","","","",""
"        Estimate","582","81","4,580","118","315"
"    Percent","","","","",""
"        Estimate","(X)","13.9%","(X)","2.6%","6.9%"
"    Male","","","","",""
"        Estimate","306","63","2,366","70","151"
"    Percent Male","","","","",""
"        Estimate","(X)","20.6%","(X)","3.0%","6.4%"
"    Female","","","","",""
"        Estimate","276","18","2,214","48","164"
"    Percent Female","","","","",""
"        Estimate","(X)","6.5%","(X)","2.2%","7.4%"
"Cassia County, Idaho","","","","",""
"    Total","","","","",""
"        Estimate","2,330","509","14,977","981","1,209"
"    Percent","","","","",""
"        Estimate","(X)","21.8%","(X)","6.6%","8.1%"
"    Male","","","","",""
"        Estimate","1,251","274","7,649","598","753"
"    Percent Male","","","","",""
"        Estimate","(X)","21.9%","(X)","7.8%","9.8%"
"    Female","","","","",""
"        Estimate","1,079","235","7,328","383","456"
"    Percent Female","","","","",""
"        Estimate","(X)","21.8%","(X)","5.2%","6.2%"
"Clark County, Idaho","","","","",""
"    Total","","","","",""
"        Estimate","78","11","474","20","95"
"    Percent","","","","",""
"        Estimate","(X)","14.1%","(X)","4.2%","20.0%"
"    Male","","","","",""
"        Estimate","55","0","227","13","54"
"    Percent Male","","","","",""
"        Estimate","(X)","0.0%","(X)","5.7%","23.8%"
"    Female","","","","",""
"        Estimate","23","11","247","7","41"
"    Percent Female","","","","",""
"        Estimate","(X)","47.8%","(X)","2.8%","16.6%"
"Clearwater County, Idaho","","","","",""
"    Total","","","","",""
"        Estimate","466","76","7,090","98","532"
"    Percent","","","","",""
"        Estimate","(X)","16.3%","(X)","1.4%","7.5%"
