"Label (Grouping)","Population 1 year and over"
"    Moved; from different  state",""
"        Estimate","1.4%"
"        Margin of Error","±0.3"
"    Moved; from abroad",""
"        Estimate","0.4%"
"        Margin of Error","±0.2"
"Bleckley County, Georgia",""
"    Total",""
"        Estimate","12,699"
"        Margin of Error","±55"
"    Moved; within same county",""
"        Estimate","7.5%"
"        Margin of Error","±3.0"
"    Moved; from different county, same state",""
"        Estimate","7.2%"
"        Margin of Error","±2.1"
"    Moved; from different  state",""
"        Estimate","0.8%"
"        Margin of Error","±0.6"
"    Moved; from abroad",""
"        Estimate","0.1%"
"        Margin of Error","±0.1"
"Brantley County, Georgia",""
"    Total",""
"        Estimate","18,501"
"        Margin of Error","±156"
"    Moved; within same county",""
"        Estimate","1.4%"
"        Margin of Error","±1.1"
"    Moved; from different county, same state",""
"        Estimate","4.0%"
"        Margin of Error","±2.5"
"    Moved; from different  state",""
"        Estimate","1.8%"
"        Margin of Error","±1.2"
"    Moved; from abroad",""
"        Estimate","0.2%"
"        Margin of Error","±0.2"
"Brooks County, Georgia",""
"    Total",""
"        Estimate","15,503"
"        Margin of Error","±47"
"    Moved; within same county",""
"        Estimate","5.1%"
"        Margin of Error","±2.2"
"    Moved; from different county, same state",""
"        Estimate","3.5%"
"        Margin of Error","±1.5"
"    Moved; from different  state",""
"        Estimate","2.7%"
"        Margin of Error","±1.7"
"    Moved; from abroad",""
"        Estimate","0.1%"
"        Margin of Error","±0.1"
"Bryan County, Georgia",""
"    Total",""
"        Estimate","36,636"
"        Margin of Error","±197"
"    Moved; within same county",""
"        Estimate","6.7%"
"        Margin of Error","±1.6"
"    Moved; from different county, same state",""
"        Estimate","6.6%"
"        Margin of Error","±1.7"
"    Moved; from different  state",""
"        Estimate","4.7%"
"        Margin of Error","±1.6"
"    Moved; from abroad",""
"        Estimate","0.7%"
"        Margin of Error","±0.7"
"Bulloch County, Georgia",""
"    Total",""
"        Estimate","75,404"
"        Margin of Error","±176"
"    Moved; within same county",""
"        Estimate","14.7%"
"        Margin of Error","±1.7"
"    Moved; from different county, same state",""
"        Estimate","11.5%"
"        Margin of Error","±1.2"
"    Moved; from different  state",""
"        Estimate","2.0%"
"        Margin of Error","±0.7"
"    Moved; from abroad",""
"        Estimate","0.3%"
"        Margin of Error","±0.1"
"Burke County, Georgia",""
"    Total",""
"        Estimate","22,206"
"        Margin of Error","±131"
"    Moved; within same county",""
"        Estimate","4.6%"
"        Margin of Error","±1.7"
"    Moved; from different county, same state",""
"        Estimate","3.0%"
"        Margin of Error","±1.3"
"    Moved; from different  state",""
"        Estimate","0.6%"
"        Margin of Error","±0.5"
"    Moved; from abroad",""
"        Estimate","0.0%"
"        Margin of Error","±0.2"
"Butts County, Georgia",""
"    Total",""
"        Estimate","23,882"
"        Margin of Error","±127"
"    Moved; within same county",""
"        Estimate","3.7%"
"        Margin of Error","±1.9"
"    Moved; from different county, same state",""
"        Estimate","13.6%"
"        Margin of Error","±2.1"
